M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate
M00002	Glycolysis, core module involving three-carbon compounds
M00003	Gluconeogenesis, oxaloacetate => fructose-6P
M00307	Pyruvate oxidation, pyruvate => acetyl-CoA
M00009	Citrate cycle (TCA cycle, Krebs cycle)
M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate
M00004	Pentose phosphate pathway (Pentose phosphate cycle)
M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P
M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P
M00580	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P
M00005	PRPP biosynthesis, ribose 5P => PRPP
M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate
M00308	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P
M00633	Semi-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate-3P
M00309	Non-phosphorylative Entner-Doudoroff pathway, gluconate/galactonate => glycerate
M00014	Glucuronate pathway (uronate pathway)
M00630	D-Galacturonate degradation (fungi), D-galacturonate => glycerol
M00631	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P
M00061	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P
M00081	Pectin degradation
M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P
M00552	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate
M00114	Ascorbate biosynthesis, plants, fructose-6P => ascorbate
M00550	Ascorbate degradation, ascorbate => D-xylulose-5P
M00854	Glycogen biosynthesis, glucose-1P => glycogen/starch
M00855	Glycogen degradation, glycogen => glucose-6P
M00565	Trehalose biosynthesis, D-glucose 1P => trehalose
M00549	Nucleotide sugar biosynthesis, glucose => UDP-glucose
M00554	Nucleotide sugar biosynthesis, galactose => UDP-galactose
M00892	UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc
M00909	UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc
M00761	Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N
M00012	Glyoxylate cycle
M00373	Ethylmalonyl pathway
M00740	Methylaspartate cycle
M00532	Photorespiration
M00013	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA
M00741	Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA
M00968	Pentose bisphosphate pathway (nucleoside degradation), archaea, nucleoside/NMP => 3-PGA/glycerone phosphate
M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4
M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol
M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate
M00165	Reductive pentose phosphate cycle (Calvin cycle)
M00166	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P
M00167	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P
M00168	CAM (Crassulacean acid metabolism), dark
M00169	CAM (Crassulacean acid metabolism), light
M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)
M00376	3-Hydroxypropionate bi-cycle
M00375	Hydroxypropionate-hydroxybutylate cycle
M00374	Dicarboxylate-hydroxybutyrate cycle
M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)
M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate
M00620	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate
M00567	Methanogenesis, CO2 => methane
M00357	Methanogenesis, acetate => methane
M00356	Methanogenesis, methanol => methane
M00563	Methanogenesis, methylamine/dimethylamine/trimethylamine => methane
M00358	Coenzyme M biosynthesis
M00608	2-Oxocarboxylic acid chain extension, 2-oxoglutarate => 2-oxoadipate => 2-oxopimelate => 2-oxosuberate
M00174	Methane oxidation, methanotroph, methane => formaldehyde
M00346	Formaldehyde assimilation, serine pathway
M00345	Formaldehyde assimilation, ribulose monophosphate pathway
M00344	Formaldehyde assimilation, xylulose monophosphate pathway
M00378	F420 biosynthesis, archaea
M00935	Methanofuran biosynthesis
M00422	Acetyl-CoA pathway, CO2 => acetyl-CoA
M00175	Nitrogen fixation, nitrogen => ammonia
M00531	Assimilatory nitrate reduction, nitrate => ammonia
M00530	Dissimilatory nitrate reduction, nitrate => ammonia
M00529	Denitrification, nitrate => nitrogen
M00528	Nitrification, ammonia => nitrite
M00804	Complete nitrification, comammox, ammonia => nitrite => nitrate
M00176	Assimilatory sulfate reduction, sulfate => H2S
M00596	Dissimilatory sulfate reduction, sulfate => H2S
M00595	Thiosulfate oxidation by SOX complex, thiosulfate => sulfate
M00161	Photosystem II
M00163	Photosystem I
M00597	Anoxygenic photosystem II
M00598	Anoxygenic photosystem I
M00144	NADH:quinone oxidoreductase, prokaryotes
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria
M00142	NADH:ubiquinone oxidoreductase, mitochondria
M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria
M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex
M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex
M00149	Succinate dehydrogenase, prokaryotes
M00150	Fumarate reductase, prokaryotes
M00148	Succinate dehydrogenase (ubiquinone)
M00162	Cytochrome b6f complex
M00151	Cytochrome bc1 complex respiratory unit
M00152	Cytochrome bc1 complex
M00154	Cytochrome c oxidase
M00155	Cytochrome c oxidase, prokaryotes
M00153	Cytochrome bd ubiquinol oxidase
M00417	Cytochrome o ubiquinol oxidase
M00416	Cytochrome aa3-600 menaquinol oxidase
M00156	Cytochrome c oxidase, cbb3-type
M00157	F-type ATPase, prokaryotes and chloroplasts
M00158	F-type ATPase, eukaryotes
M00159	V/A-type ATPase, prokaryotes
M00160	V-type ATPase, eukaryotes
M00082	Fatty acid biosynthesis, initiation
M00083	Fatty acid biosynthesis, elongation
M00873	Fatty acid biosynthesis in mitochondria, animals
M00874	Fatty acid biosynthesis in mitochondria, fungi
M00085	Fatty acid elongation in mitochondria
M00415	Fatty acid elongation in endoplasmic reticulum
M00086	beta-Oxidation, acyl-CoA synthesis
M00087	beta-Oxidation
M00861	beta-Oxidation, peroxisome, VLCFA
Sterol	biosynthesis
M00101	Cholesterol biosynthesis, squalene 2,3-epoxide => cholesterol
M00102	Ergocalciferol biosynthesis, squalene 2,3-epoxide => ergosterol/ergocalciferol
M00917	Phytosterol biosynthesis, squalene 2,3-epoxide => campesterol/sitosterol
M00103	Cholecalciferol biosynthesis
M00104	Bile acid biosynthesis, cholesterol => cholate/chenodeoxycholate
M00106	Conjugated bile acid biosynthesis, cholate => taurocholate/glycocholate
M00862	beta-Oxidation, peroxisome, tri/dihydroxycholestanoyl-CoA => choloyl/chenodeoxycholoyl-CoA
M00107	Steroid hormone biosynthesis, cholesterol => pregnenolone => progesterone
M00108	C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone
M00109	C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone
M00110	C19/C18-Steroid hormone biosynthesis, pregnenolone => androstenedione => estrone
M00088	Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
M00089	Triacylglycerol biosynthesis
M00098	Acylglycerol degradation
M00090	Phosphatidylcholine (PC) biosynthesis, choline => PC
M00091	Phosphatidylcholine (PC) biosynthesis, PE => PC
M00092	Phosphatidylethanolamine (PE) biosynthesis, ethanolamine => PE
M00093	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE
M00094	Ceramide biosynthesis
M00066	Lactosylceramide biosynthesis
M00067	Sulfoglycolipids biosynthesis, ceramide/1-alkyl-2-acylglycerol => sulfatide/seminolipid
M00099	Sphingosine biosynthesis
M00100	Sphingosine degradation
M00113	Jasmonic acid biosynthesis
M00048	De novo purine biosynthesis, PRPP + glutamine => IMP
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP
M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP
M00053	Deoxyribonucleotide biosynthesis, ADP/GDP/CDP/UDP => dATP/dGTP/dCTP/dUTP
M00958	Adenine ribonucleotide degradation, AMP => Urate
M00959	Guanine ribonucleotide degradation, GMP => Urate
M00546	Purine degradation, xanthine => urea
M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP
M00938	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate
M00939	Pyrimidine degradation, uracil => 3-hydroxypropanoate
M00020	Serine biosynthesis, glycerate-3P => serine
M00018	Threonine biosynthesis, aspartate => homoserine => threonine
M00555	Betaine biosynthesis, choline => betaine
M00033	Ectoine biosynthesis, aspartate => ectoine
M00919	Ectoine degradation, ectoine => aspartate
M00021	Cysteine biosynthesis, serine => cysteine
M00338	Cysteine biosynthesis, homocysteine + serine => cysteine
M00609	Cysteine biosynthesis, methionine => cysteine
M00017	Methionine biosynthesis, aspartate => homoserine => methionine
M00034	Methionine salvage pathway
M00035	Methionine degradation
M00368	Ethylene biosynthesis, methionine => ethylene
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine
M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine
M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA
M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine
M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine
M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine
M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine
M00030	Lysine biosynthesis, AAA pathway, 2-oxoglutarate => 2-aminoadipate => lysine
M00433	Lysine biosynthesis, 2-oxoglutarate => 2-oxoadipate
M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine
M00032	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
M00956	Lysine degradation, bacteria, L-lysine => succinate
M00957	Lysine degradation, bacteria, L-lysine => glutarate => succinate/acetyl-CoA
M00960	Lysine degradation, bacteria, L-lysine => D-lysine => succinate
M00028	Ornithine biosynthesis, glutamate => ornithine
M00763	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine
M00844	Arginine biosynthesis, ornithine => arginine
